Vertices,0.4,0.2,0.6,0.8,1
20,0.13,0.3162,0.1866,0.2882,0.4058
38,0.4158,0.1696,0.6894,1.2529,1.6611
56,0.9332,0.2912,2.0357,3.3635,5.4783
74,1.536,0.5309,3.0372,4.9655,7.7279
92,2.6978,0.6892,5.9545,10.316,15.2651
110,4.5106,1.2902,9.2435,17.3002,25.6423
128,7.1707,1.8788,15.8313,27.7869,40.127
146,10.722,2.6845,21.2465,37.5035,57.1048
164,14.3041,4.0053,30.0336,52.1593,80.8245
182,19.5467,5.3569,41.1505,74.6574,116.3567
